GAME_ID,PERIOD,HOME_STARTERS,AWAY_STARTERS
22400021,1,"201143, 201950, 1627759, 1628369, 1628401","1628378, 1628386, 1629636, 1630241, 1630596"
22400021,2,"1627759, 1628401, 1629674, 1630202, 1630573","1627777, 1628378, 1630241, 1630596, 1641854"
22400021,3,"201143, 201950, 1627759, 1628369, 1628401","1628378, 1628386, 1629636, 1630241, 1630596"
22400021,4,"201143, 1627759, 1628401, 1630202, 1630573","1627777, 1628378, 1628386, 1629660, 1641854"
22400022,1,"203471, 1627732, 1627827, 1629661, 1630592","1628970, 1629684, 1630163, 1630182, 1641706"
22400022,2,"203471, 1629003, 1630553, 1630592, 1641730","1628970, 1629684, 1630182, 1630544, 1641706"
22400022,3,"203471, 1627732, 1627827, 1629661, 1630592","1628970, 1629684, 1630163, 1630182, 1641706"
22400022,4,"203471, 1627827, 1629003, 1629661, 1630592","1628998, 1630544, 1631217, 1641706, 1642275"
22400023,1,"1628991, 1629634, 1630217, 1630590, 1642377","203967, 1627750, 1629008, 1631128, 1631212"
22400023,2,"1628991, 1629634, 1630217, 1630590, 1631222","201566, 1628427, 1631124, 1631128, 1631212"
22400023,3,"1628991, 1629634, 1630217, 1630590, 1642377","203967, 1627750, 1629008, 1631128, 1631212"
22400023,4,"1629634, 1629723, 1630217, 1630590","201566, 1627750, 1630192, 1631124, 1631212"
22400024,1,"202681, 202691, 1629023, 1629029, 1641726","1627742, 1629750, 1630527, 1630530, 1642274"
22400024,2,"1628467, 1629029, 1629656, 1630702, 1641726","1629669, 1630526, 1630530, 1631288, 1641998"
22400024,3,"202681, 202691, 1629023, 1629029, 1641726","1627742, 1629750, 1630527, 1630530, 1642274"
22400024,4,"1628467, 1629029, 1629655, 1630230, 1630702","1627742, 1629669, 1629750, 1630526, 1630527"
22400025,1,"101108, 203084, 1628380, 1630577, 1642264","1628983, 1629652, 1630598, 1631114, 1641717"
22400025,2,"101108, 1628380, 1630572, 1630577, 1631103","1627936, 1628983, 1629652, 1641745, 1641794"
22400025,3,"101108, 203084, 1628380, 1630577, 1642264","1628983, 1629652, 1630598, 1631114, 1641717"
22400025,4,"101108, 1628380, 1629640, 1630577, 1631103","1629026, 1629652, 1630598, 1631114, 1642349"
22400026,1,"2544, 203076, 1629629, 1630559, 1642261","1628374, 1628381, 1629012, 1641718, 1642271"
22400026,2,"2544, 1626156, 1629629, 1630559, 1631132","203903, 1628374, 1629012, 1629234, 1630548"
22400026,3,"2544, 203076, 1629629, 1630559, 1642261","1628374, 1628381, 1629012, 1641718, 1642271"
22400026,4,"2544, 1626156, 1629216, 1631132, 1642261","203903, 1628374, 1629012, 1630548, 1642271"
22400027,1,"1626162, 1627824, 1628997, 1630178, 1642272","203471, 1627732, 1627827, 1629661, 1630560"
22400027,2,"202704, 203083, 1626162, 1630231, 1642272","203471, 1629651, 1630533, 1630592, 1641730"
22400027,3,"1626162, 1627824, 1628997, 1630178, 1642272","203471, 1627732, 1627827, 1629661, 1630560"
22400027,4,"201569, 202704, 203083, 1630231, 1642272","203471, 1629651, 1629661, 1630592, 1641730"
22400028,1,"1627763, 1628398, 1629673, 1641731, 1642259","201950, 1627759, 1628369, 1628401, 1629674"
22400028,2,"202685, 1627763, 1628398, 1642267, 1642273","1627759, 1628401, 1629674, 1630202, 1630573"
22400028,3,"1627763, 1628398, 1629673, 1641731, 1642259","201950, 1627759, 1628369, 1628401, 1628436"
22400028,4,"202685, 1627763, 1629673, 1630264, 1641731, 1642273","1628369, 1628401, 1628436, 1630202, 1630573"
22400029,1,"201572, 203081, 203507, 1627752, 1641748","1626167, 1627783, 1630169, 1631097, 1631245"
