GAME_ID,PERIOD,DURATION_SECONDS,PLUS_MINUS,PLUS_MINUS_PER_MINUTE,STINT_START_SECONDS,STINT_END_SECONDS
22400010,1,87,5.0,3.4482758620689653,282,195
22400010,1,30,2.0,4.0,181,151
22400010,1,81,-2.0,-1.4814814814814814,139,58
22400010,2,144,-8.0,-3.333333333333333,720,576
22400010,2,94,4.0,2.5531914893617023,567,473
22400010,2,73,2.0,1.643835616438356,455,382
22400010,2,130,-4.0,-1.8461538461538463,374,244
22400010,2,42,-3.0,-4.285714285714286,238,196
22400010,2,169,-1.0,-0.35502958579881655,187,18
22400010,2,2,0.0,0.0,2,0
22400010,3,352,-7.0,-1.1931818181818181,720,368
22400010,3,50,-1.0,-1.2,353,303
22400010,3,44,-3.0,-4.090909090909091,298,254
22400010,3,36,1.0,1.6666666666666665,254,218
22400010,3,104,0.0,0.0,218,114
22400010,3,86,5.0,3.488372093023256,114,28
22400010,3,1,0.0,0.0,28,27
22400010,3,25,2.0,4.8,25,0
22400010,4,160,5.0,1.875,720,560
22400010,4,86,1.0,0.6976744186046512,560,474
22400010,4,29,1.0,2.0689655172413794,451,422
22400010,4,126,-5.0,-2.380952380952381,422,296
22400010,4,30,1.0,2.0,285,255
22400010,4,65,6.0,5.538461538461538,255,190
22400010,4,91,3.0,1.978021978021978,164,73
22400010,4,61,-1.0,-0.9836065573770493,61,0
22400011,1,308,-1.0,-0.19480519480519481,720,412
22400011,1,59,6.0,6.101694915254238,392,333
22400011,1,57,1.0,1.0526315789473684,333,276
22400011,1,93,1.0,0.6451612903225807,276,183
22400011,1,86,-2.0,-1.3953488372093024,169,83
22400011,1,83,-7.0,-5.0602409638554215,83,0
22400011,2,98,-2.0,-1.2244897959183672,720,622
22400011,2,70,2.0,1.7142857142857142,610,540
22400011,2,36,1.0,1.6666666666666665,540,504
22400011,2,102,-1.0,-0.5882352941176471,504,402
22400011,2,26,0.0,0.0,402,376
22400011,2,45,0.0,0.0,372,327
22400011,2,53,1.0,1.1320754716981132,327,274
22400011,2,145,-2.0,-0.8275862068965517,274,129
22400011,2,50,0.0,0.0,114,64
22400011,2,27,3.0,6.666666666666666,64,37
22400011,2,37,-2.0,-3.2432432432432434,37,0
