GAME_ID,PERIOD,HOME_PLAYERS,AWAY_PLAYERS
22400031,3,"1627832, 1628415, 1630224, 1630578, 1631095, 1631106, 1641708, 1642263, 203500","1629014, 1629057, 1630166, 1630625, 1631101, 1631200, 1641712, 1641739, 1642270, 203924"
22400031,4,"1628988, 1629098, 1629111, 1630224, 1630256, 1631106, 1641708, 1642263, 201145, 203500","1631133, 1631200, 1631386, 1641712, 1641871, 1642270"
22400032,1,"1627742, 1628464, 1629750, 1630527, 1630530, 1641722, 1641810, 1641998, 203901","1626172, 1627741, 1627780, 1630228, 1630322, 1631218, 1641764, 201939, 203110, 203952"
22400032,2,"1627742, 1629750, 1630526, 1630527, 1630530, 1641722, 1641998, 203901","1627741, 1627780, 1630228, 1630322, 1630541, 1631218, 1641764, 201939, 203110, 203937, 203952"
22400032,3,"1627742, 1628464, 1629750, 1630526, 1630527, 1630530, 1641722, 1641810, 1641998, 203901","1626172, 1627741, 1627780, 1630228, 1630322, 1630541, 1631218, 1641764, 201939, 203110, 203952"
22400032,4,"1627742, 1628464, 1629750, 1630526, 1630527, 1630530, 1641722, 1641810, 1641998, 203901","1626172, 1627741, 1627780, 1630228, 1630541, 1631218, 1641764, 201939, 203110, 203952"
22400033,1,"1627750, 1629008, 1631124, 1631128, 1631212, 1641725, 201566, 203999","1628467, 1629023, 1629655, 1629656, 1630230, 1630702, 1641726, 202681, 202691, 203915"
22400033,2,"1627750, 1629008, 1631124, 1631128, 1631212, 201566, 203967, 203999","1628467, 1629023, 1629655, 1629656, 1630230, 1630702, 1641726, 202681, 202691, 203915"
22400033,3,"1627750, 1629008, 1631124, 1631128, 1631212, 1641816, 201566, 203999","1628467, 1629023, 1629655, 1629656, 1630230, 1630702, 1641726, 202681, 202691, 203915"
22400033,4,"1627750, 1629008, 1631124, 1631128, 1631212, 201566, 201599, 203999","1628467, 1629023, 1629655, 1629656, 1630230, 1630702, 1641726, 202681, 202691, 203915"
22400034,1,"1627739, 1627826, 1627884, 1628964, 1629599, 1629611, 1629645, 1641757, 201587, 201935","1626168, 1627734, 1628368, 1628989, 1629162, 1631099, 1631165, 201942, 203926"
22400034,2,"1627739, 1627826, 1627884, 1628964, 1629599, 1629611, 1629645, 1641757, 201587, 201935","1626168, 1627734, 1628368, 1628989, 1629162, 1631099, 1631165, 1641732, 201942"
22400034,3,"1627739, 1627826, 1627884, 1628964, 1629599, 1629611, 1629645, 1641757, 201587, 201935","1626168, 1627734, 1628368, 1628989, 1629162, 1631099, 1631165, 1641732, 201942"
22400034,4,"1627739, 1627826, 1627884, 1628964, 1629611, 1629645, 1641757, 201587, 201935","1626168, 1627734, 1628368, 1628989, 1631099, 1631165, 1641732, 201942"
22400035,1,"1627763, 1628398, 1630264, 1630557, 1641731, 1642259, 1642267, 1642273, 202685","1629632, 1629659, 1630188, 1630245, 1630581, 1631207, 1641763, 1641824, 202696, 203897"
22400035,2,"1627763, 1628398, 1630215, 1630264, 1630557, 1641731, 1642259, 1642267, 1642273, 202685","1629632, 1629659, 1630188, 1630245, 1630581, 1641763, 1641824, 202696, 203897"
22400035,3,"1627763, 1628398, 1630557, 1641731, 1642259, 1642267, 1642273, 202685","1629632, 1629659, 1630188, 1630245, 1630581, 1631207, 1641763, 1641824, 202696, 203897"
22400035,4,"1627763, 1628398, 1628963, 1630215, 1630264, 1630557, 1631098, 1631116, 1641731, 1642259, 1642267, 1642273, 202685","1628975, 1629632, 1629659, 1630188, 1630245, 1630537, 1630581, 1630604, 1631207, 1641763, 1641824, 202696, 203897"
22400036,1,"1626179, 1628389, 1629130, 1629312, 1629639, 1631170, 1641796, 201567, 202692, 202710","1626153, 1626171, 1626192, 1627752, 1629018, 1630699, 1631260, 1641748, 201572, 203081"
22400036,2,"1626179, 1628389, 1629130, 1629312, 1629639, 1631170, 1641796, 201567, 202692, 202710","1626153, 1626171, 1626192, 1627752, 1629018, 1630699, 1631260, 1641748, 201572, 203081"
22400036,3,"1628389, 1629130, 1629312, 1629639, 1641796, 1642276, 202710","1626153, 1626171, 1626192, 1627752, 1629018, 1631260, 1641748, 201572, 203081"
22400036,4,"1626179, 1628389, 1629130, 1629639, 1631170, 1641796, 1642276, 202692, 202710","1626153, 1626171, 1626192, 1627752, 1629018, 1631260, 1641748, 201572, 203081"
22400037,1,"1628978, 1629638, 1629675, 1630162, 1630183, 1642265, 203497, 203944","1627832, 1628415, 1629111, 1630224, 1630578, 1631095, 1631106, 1641708, 1642263"
